gene-CD630_RS00005 - gene-CD630_RS00055,1,10630,10629,+,31.01,11
,,,,,,,gene-CD630_RS00005,45.45,
,,,,,,,gene-CD630_RS00010,41.26,23.01
,,,,,,,gene-CD630_RS00015,41.03,16.44
,,,,,,,gene-CD630_RS00020,22.02,29.67
,,,,,,,gene-CD630_RS00025,25.85,24.0
,,,,,,,gene-CD630_RS00030,38.71,13.15
,,,,,,,gene-CD630_RS00035,34.95,34.23
,,,,,,,gene-CD630_RS00040,30.5,
,,,,,,,gene-CD630_RS00045,29.75,34.75
,,,,,,,gene-CD630_RS00050,34.75,38.0
,,,,,,,gene-CD630_RS00055,31.74,
gene-CD630_RS00080 - gene-CD630_RS00085,16091,17493,1402,+,14.26,2
,,,,,,,gene-CD630_RS00080,15.46,
,,,,,,,gene-CD630_RS00085,13.66,13.67
gene-CD630_RS00090,17952,19223,1271,+,39.83,1
,,,,,,,gene-CD630_RS00090,39.83,
gene-CD630_RS00095,19544,19999,455,+,148.6,1
,,,,,,,gene-CD630_RS00095,148.6,
gene-CD630_RS00110,20470,22516,2046,+,18.83,1
,,,,,,,gene-CD630_RS00110,18.83,
gene-CD630_RS00115 - gene-CD630_RS00120,22166,23128,962,+,98.6,2
,,,,,,,gene-CD630_RS00115,72.28,
,,,,,,,gene-CD630_RS00120,154.28,69.23
gene-CD630_RS00125,23269,23490,221,+,46.25,1
,,,,,,,gene-CD630_RS00125,46.25,
gene-CD630_RS00130,23561,24766,1205,-,19.83,1
,,,,,,,gene-CD630_RS00130,19.83,
gene-CD630_RS00365 - gene-CD630_RS00375,34145,40468,6323,+,14.58,3
,,,,,,,gene-CD630_RS00365,6.35,
,,,,,,,gene-CD630_RS00370,11.66,5.66
,,,,,,,gene-CD630_RS00375,30.67,18.56
gene-CD630_RS00380 - gene-CD630_RS00395,40921,45361,4440,+,14.85,4
,,,,,,,gene-CD630_RS00380,11.63,
,,,,,,,gene-CD630_RS00385,15.03,11.0
,,,,,,,gene-CD630_RS00390,17.54,9.0
,,,,,,,gene-CD630_RS00395,24.9,
gene-CD630_RS00400 - gene-CD630_RS00405,45541,47987,2446,+,21.65,2
,,,,,,,gene-CD630_RS00400,21.23,
,,,,,,,gene-CD630_RS00405,27.72,16.0
gene-CD630_RS00410 - gene-CD630_RS00415,48076,51476,3400,+,47.24,2
,,,,,,,gene-CD630_RS00410,102.82,
,,,,,,,gene-CD630_RS00415,19.28,19.63
gene-CD630_RS00420,51662,52507,845,-,3.23,1
,,,,,,,gene-CD630_RS00420,3.23,
gene-CD630_RS00425,52724,53890,1166,+,NOT EXPRESSED,0.07
gene-CD630_RS00430,53912,55558,1646,+,NOT EXPRESSED,0.41
gene-CD630_RS00435,55655,57028,1373,+,NOT EXPRESSED,0.21
gene-CD630_RS00440,57469,58422,953,+,2.38,1
,,,,,,,gene-CD630_RS00440,2.38,
gene-CD630_RS00445 - gene-CD630_RS00450,58460,60433,1973,+,2.84,2
,,,,,,,gene-CD630_RS00445,2.81,
,,,,,,,gene-CD630_RS00450,2.74,2.96
gene-CD630_RS00455,60446,61492,1046,+,1.87,1
,,,,,,,gene-CD630_RS00455,1.87,
gene-CD630_RS00460,61659,63389,1730,+,2.63,1
,,,,,,,gene-CD630_RS00460,2.63,
gene-CD630_RS00465,63807,66755,2948,+,NOT EXPRESSED,0.08
gene-CD630_RS00470,66733,67197,464,+,1.03,1
,,,,,,,gene-CD630_RS00470,1.03,
gene-CD630_RS00475,67277,67579,302,+,2.53,1
,,,,,,,gene-CD630_RS00475,2.53,
gene-CD630_RS00480,67656,69005,1349,+,NOT EXPRESSED,0.15
gene-CD630_RS00485,69040,69513,473,+,NOT EXPRESSED,0.31
gene-CD630_RS00490,69685,70335,650,+,NOT EXPRESSED,0.0
gene-CD630_RS00495,70509,71441,932,+,5.9,1
,,,,,,,gene-CD630_RS00495,5.9,
gene-CD630_RS00500 - gene-CD630_RS00505,71715,72910,1195,+,12.61,2
,,,,,,,gene-CD630_RS00500,13.5,
,,,,,,,gene-CD630_RS00505,11.71,
gene-CD630_RS00510 - gene-CD630_RS00515,73277,76559,3282,+,382.71,2
,,,,,,,gene-CD630_RS00510,233.54,
,,,,,,,gene-CD630_RS00515,512.76,401.83
gene-CD630_RS00520,76997,78478,1481,+,35.54,1
,,,,,,,gene-CD630_RS00520,35.54,
gene-CD630_RS19625,78699,80794,2095,+,2.41,1
,,,,,,,gene-CD630_RS19625,2.41,
gene-CD630_RS00525 - gene-CD630_RS00530,78999,80794,1795,+,82.03,2
,,,,,,,gene-CD630_RS00525,50.49,
,,,,,,,gene-CD630_RS00530,103.94,91.67
gene-CD630_RS00535 - gene-CD630_RS00540,80900,82408,1508,+,19.97,2
,,,,,,,gene-CD630_RS00535,20.98,
,,,,,,,gene-CD630_RS00540,18.94,20.0
gene-CD630_RS00545 - gene-CD630_RS00550,82411,83650,1239,+,36.41,2
,,,,,,,gene-CD630_RS00545,23.75,
,,,,,,,gene-CD630_RS00550,52.77,32.72
gene-CD630_RS00555 - gene-CD630_RS00590,83724,88509,4785,+,491.0,8
,,,,,,,gene-CD630_RS00555,647.05,
,,,,,,,gene-CD630_RS00560,435.3,362.39
,,,,,,,gene-CD630_RS00565,294.34,288.54
,,,,,,,gene-CD630_RS00570,320.83,361.2
,,,,,,,gene-CD630_RS00575,357.55,377.9
,,,,,,,gene-CD630_RS00580,357.76,559.93
,,,,,,,gene-CD630_RS00585,614.12,592.16
,,,,,,,gene-CD630_RS00590,1049.9,746.09
gene-CD630_RS00595,88901,89689,788,+,8.0,1
,,,,,,,gene-CD630_RS00595,8.0,
gene-CD630_RS00600,90160,100823,10663,+,104.7,1
,,,,,,,gene-CD630_RS00600,104.7,
gene-CD630_RS00605,93918,105632,11714,+,123.3,1
,,,,,,,gene-CD630_RS00605,123.3,
gene-CD630_RS00610 - gene-CD630_RS00785,97692,118321,20629,+,549.18,36
,,,,,,,gene-CD630_RS00610,354.17,
,,,,,,,gene-CD630_RS00615,459.56,284.97
,,,,,,,gene-CD630_RS00620,426.46,295.2
,,,,,,,gene-CD630_RS00625,754.82,674.53
,,,,,,,gene-CD630_RS00630,588.44,1269.75
,,,,,,,gene-CD630_RS00635,522.69,294.42
,,,,,,,gene-CD630_RS00640,593.28,547.27
,,,,,,,gene-CD630_RS00645,633.33,
,,,,,,,gene-CD630_RS00650,535.3,732.0
,,,,,,,gene-CD630_RS00655,530.95,432.43
,,,,,,,gene-CD630_RS00660,634.08,596.31
,,,,,,,gene-CD630_RS00665,559.33,605.78
,,,,,,,gene-CD630_RS00670,527.29,439.44
,,,,,,,gene-CD630_RS00675,495.42,716.5
,,,,,,,gene-CD630_RS00680,598.41,512.38
,,,,,,,gene-CD630_RS00685,461.14,370.08
,,,,,,,gene-CD630_RS00690,727.76,511.88
,,,,,,,gene-CD630_RS00695,467.31,589.3
,,,,,,,gene-CD630_RS00700,460.51,351.28
,,,,,,,gene-CD630_RS00705,608.1,644.85
,,,,,,,gene-CD630_RS00710,590.63,769.03
,,,,,,,gene-CD630_RS00715,526.06,619.31
,,,,,,,gene-CD630_RS00720,477.56,601.19
,,,,,,,gene-CD630_RS00725,651.16,871.13
,,,,,,,gene-CD630_RS00730,644.16,349.39
,,,,,,,gene-CD630_RS00735,457.93,537.66
,,,,,,,gene-CD630_RS00740,471.99,347.76
,,,,,,,gene-CD630_RS00745,484.45,586.0
,,,,,,,gene-CD630_RS00750,424.89,437.55
,,,,,,,gene-CD630_RS00755,487.17,281.61
,,,,,,,gene-CD630_RS00760,554.73,601.33
,,,,,,,gene-CD630_RS00765,578.04,402.36
,,,,,,,gene-CD630_RS00770,556.13,745.19
,,,,,,,gene-CD630_RS00775,538.02,842.94
,,,,,,,gene-CD630_RS00780,484.61,220.22
,,,,,,,gene-CD630_RS00785,684.76,810.67
gene-CD630_RS00790 - gene-CD630_RS00805,118441,121688,3247,+,19.03,4
,,,,,,,gene-CD630_RS00790,17.37,
,,,,,,,gene-CD630_RS00795,21.06,
,,,,,,,gene-CD630_RS00800,17.81,
,,,,,,,gene-CD630_RS00805,25.13,13.78
gene-CD630_RS00810 - gene-CD630_RS00815,121808,122660,852,+,503.98,2
,,,,,,,gene-CD630_RS00810,443.69,
,,,,,,,gene-CD630_RS00815,718.71,349.55
gene-CD630_RS00820,123166,123870,704,+,2.57,1
,,,,,,,gene-CD630_RS00820,2.57,
gene-CD630_RS00955,136463,137647,1184,-,47.31,1
,,,,,,,gene-CD630_RS00955,47.31,
gene-CD630_RS00960 - gene-CD630_RS00965,138020,140932,2912,+,13.74,2
,,,,,,,gene-CD630_RS00960,12.37,
,,,,,,,gene-CD630_RS00965,20.26,8.59
gene-CD630_RS01065 - gene-CD630_RS01070,153933,155950,2017,+,15.54,2
,,,,,,,gene-CD630_RS01065,10.82,
,,,,,,,gene-CD630_RS01070,20.26,
gene-CD630_RS01075 - gene-CD630_RS01105,156254,161600,5346,+,467.75,7
,,,,,,,gene-CD630_RS01075,186.28,
,,,,,,,gene-CD630_RS01080,212.78,239.91
,,,,,,,gene-CD630_RS01085,489.63,
,,,,,,,gene-CD630_RS01090,467.87,502.65
,,,,,,,gene-CD630_RS01095,469.81,323.66
,,,,,,,gene-CD630_RS01100,479.3,
,,,,,,,gene-CD630_RS01105,1427.36,346.0
gene-CD630_RS01110 - gene-CD630_RS01115,161770,165215,3445,+,91.58,2
,,,,,,,gene-CD630_RS01110,78.86,
,,,,,,,gene-CD630_RS01115,84.96,110.92
gene-CD630_RS01120,165666,168161,2495,+,6.03,1
,,,,,,,gene-CD630_RS01120,6.03,
gene-CD630_RS01125 - gene-CD630_RS01140,167424,171320,3896,+,30.84,4
,,,,,,,gene-CD630_RS01125,29.56,
,,,,,,,gene-CD630_RS01130,41.07,28.48
,,,,,,,gene-CD630_RS01135,23.58,45.91
,,,,,,,gene-CD630_RS01140,23.6,23.7
gene-CD630_RS01145,171418,172894,1476,+,1.67,1
,,,,,,,gene-CD630_RS01145,1.67,
gene-CD630_RS01150 - gene-CD630_RS01155,171875,173338,1463,+,34.35,2
,,,,,,,gene-CD630_RS01150,28.79,
,,,,,,,gene-CD630_RS01155,50.83,23.44
gene-CD630_RS01160,173449,173958,509,-,NOT EXPRESSED,0.75
gene-CD630_RS01165,174387,175580,1193,+,49.4,1
,,,,,,,gene-CD630_RS01165,49.4,
gene-CD630_RS01170,175896,176993,1097,+,NOT EXPRESSED,0.0
gene-CD630_RS01175,177257,179476,2219,+,4.18,1
,,,,,,,gene-CD630_RS01175,4.18,
gene-CD630_RS01180,179521,180261,740,+,4.47,1
,,,,,,,gene-CD630_RS01180,4.47,
gene-CD630_RS01185,180593,182506,1913,+,4.78,1
,,,,,,,gene-CD630_RS01185,4.78,
gene-CD630_RS01190,182647,182955,308,+,NOT EXPRESSED,0.26
gene-CD630_RS01195,182979,183305,326,+,NOT EXPRESSED,0.88
gene-CD630_RS01200,183344,184678,1334,+,1.09,1
,,,,,,,gene-CD630_RS01200,1.09,
gene-CD630_RS01205,184689,185207,518,+,1.44,1
,,,,,,,gene-CD630_RS01205,1.44,
gene-CD630_RS01210,185303,186262,959,+,2.8,1
,,,,,,,gene-CD630_RS01210,2.8,
gene-CD630_RS01215,186311,187363,1052,+,NOT EXPRESSED,0.71
gene-CD630_RS01220,187366,188040,674,+,1.11,1
,,,,,,,gene-CD630_RS01220,1.11,
gene-CD630_RS01225,188593,189144,551,+,232.62,1
,,,,,,,gene-CD630_RS01225,232.62,
gene-CD630_RS01230 - gene-CD630_RS01235,189276,192040,2764,+,37.95,2
,,,,,,,gene-CD630_RS01230,28.86,
,,,,,,,gene-CD630_RS01235,44.27,40.73
gene-CD630_RS01235 - gene-CD630_RS01245,192042,196672,4630,+,11.82,3
,,,,,,,gene-CD630_RS01235,31.28,
,,,,,,,gene-CD630_RS01240,7.33,6.6
,,,,,,,gene-CD630_RS01245,6.41,7.48
gene-CD630_RS01250,196974,197579,605,+,59.54,1
,,,,,,,gene-CD630_RS01250,59.54,
gene-CD630_RS01255 - gene-CD630_RS01290,197908,205952,8044,+,9.25,8
,,,,,,,gene-CD630_RS01255,2.94,
,,,,,,,gene-CD630_RS01260,10.3,13.63
,,,,,,,gene-CD630_RS01265,13.28,
,,,,,,,gene-CD630_RS01270,12.68,
,,,,,,,gene-CD630_RS01275,11.47,11.17
,,,,,,,gene-CD630_RS01280,4.43,11.17
,,,,,,,gene-CD630_RS01285,5.5,7.5
,,,,,,,gene-CD630_RS01290,6.92,
gene-CD630_RS01295,206267,207229,962,+,9.81,1
,,,,,,,gene-CD630_RS01295,9.81,
gene-CD630_RS19915 - gene-CD630_RS01300,207328,208307,979,-,42.3,2
,,,,,,,gene-CD630_RS19915,56.42,
,,,,,,,gene-CD630_RS01300,28.19,
gene-CD630_RS01305 - gene-CD630_RS01310,209440,211787,2347,+,4.44,2
,,,,,,,gene-CD630_RS01305,8.99,
,,,,,,,gene-CD630_RS01310,1.49,2.84
gene-CD630_RS01315,212060,213832,1772,+,NOT EXPRESSED,0.71
gene-CD630_RS01320,213854,215275,1421,+,NOT EXPRESSED,0.74
gene-CD630_RS01325,215304,216374,1070,+,NOT EXPRESSED,0.94
