gene-CD630_RS00005 - gene-CD630_RS00010,1,2668,2667,+,19.25,2
,,,,,,,gene-CD630_RS00005,21.28,
,,,,,,,gene-CD630_RS00010,19.36,17.11
gene-CD630_RS00015 - gene-CD630_RS00055,2805,10630,7825,+,18.77,9
,,,,,,,gene-CD630_RS00015,23.4,
,,,,,,,gene-CD630_RS00020,15.81,12.56
,,,,,,,gene-CD630_RS00025,16.15,16.0
,,,,,,,gene-CD630_RS00030,26.91,14.55
,,,,,,,gene-CD630_RS00035,20.19,10.46
,,,,,,,gene-CD630_RS00040,20.58,
,,,,,,,gene-CD630_RS00045,16.97,39.58
,,,,,,,gene-CD630_RS00050,20.67,8.0
,,,,,,,gene-CD630_RS00055,19.68,
gene-CD630_RS00080 - gene-CD630_RS00090,16091,19223,3132,+,20.39,3
,,,,,,,gene-CD630_RS00080,15.28,
,,,,,,,gene-CD630_RS00085,9.93,5.75
,,,,,,,gene-CD630_RS00090,19.59,51.41
gene-CD630_RS00095,19544,19999,455,+,89.39,1
,,,,,,,gene-CD630_RS00095,89.39,
gene-CD630_RS00110,20470,22516,2046,+,13.59,1
,,,,,,,gene-CD630_RS00110,13.59,
gene-CD630_RS00115 - gene-CD630_RS00120,22166,23128,962,+,50.06,2
,,,,,,,gene-CD630_RS00115,42.38,
,,,,,,,gene-CD630_RS00120,79.72,28.08
gene-CD630_RS00125,23269,23490,221,+,21.44,1
,,,,,,,gene-CD630_RS00125,21.44,
gene-CD630_RS00130,23561,24766,1205,-,19.03,1
,,,,,,,gene-CD630_RS00130,19.03,
gene-CD630_RS00365,34145,34558,413,+,5.84,1
,,,,,,,gene-CD630_RS00365,5.84,
gene-CD630_RS00370 - gene-CD630_RS00375,34867,40468,5601,+,14.63,2
,,,,,,,gene-CD630_RS00370,11.48,
,,,,,,,gene-CD630_RS00375,18.4,14.02
gene-CD630_RS00380 - gene-CD630_RS00395,40921,45361,4440,+,10.88,4
,,,,,,,gene-CD630_RS00380,6.7,
,,,,,,,gene-CD630_RS00385,11.5,11.29
,,,,,,,gene-CD630_RS00390,11.95,8.5
,,,,,,,gene-CD630_RS00395,15.34,
gene-CD630_RS00400 - gene-CD630_RS00405,45541,47987,2446,+,11.34,2
,,,,,,,gene-CD630_RS00400,13.17,
,,,,,,,gene-CD630_RS00405,14.84,6.0
gene-CD630_RS00410 - gene-CD630_RS00415,48076,51476,3400,+,37.13,2
,,,,,,,gene-CD630_RS00410,78.94,
,,,,,,,gene-CD630_RS00415,10.85,21.6
gene-CD630_RS00420,51662,52507,845,-,2.94,1
,,,,,,,gene-CD630_RS00420,2.94,
gene-CD630_RS00425,52724,53890,1166,+,NOT EXPRESSED,0.26
gene-CD630_RS00430,53912,55558,1646,+,NOT EXPRESSED,0.16
gene-CD630_RS00435,55655,57028,1373,+,NOT EXPRESSED,0.39
gene-CD630_RS00440,57469,58422,953,+,1.0,1
,,,,,,,gene-CD630_RS00440,1.0,
gene-CD630_RS00445 - gene-CD630_RS00450,58460,60433,1973,+,2.86,2
,,,,,,,gene-CD630_RS00445,1.78,
,,,,,,,gene-CD630_RS00450,2.79,4.0
gene-CD630_RS00455,60446,61492,1046,+,1.78,1
,,,,,,,gene-CD630_RS00455,1.78,
gene-CD630_RS00460,61659,63389,1730,+,2.02,1
,,,,,,,gene-CD630_RS00460,2.02,
gene-CD630_RS00465,63807,66755,2948,+,NOT EXPRESSED,0.67
gene-CD630_RS00470,66733,67197,464,+,NOT EXPRESSED,0.71
gene-CD630_RS00475,67277,67579,302,+,3.52,1
,,,,,,,gene-CD630_RS00475,3.52,
gene-CD630_RS00480,67656,69005,1349,+,NOT EXPRESSED,0.47
gene-CD630_RS00485,69040,69513,473,+,1.01,1
,,,,,,,gene-CD630_RS00485,1.01,
gene-CD630_RS00490,69685,70335,650,+,NOT EXPRESSED,0.0
gene-CD630_RS00495,70509,71441,932,+,4.48,1
,,,,,,,gene-CD630_RS00495,4.48,
gene-CD630_RS00500 - gene-CD630_RS00505,71715,72910,1195,+,7.02,2
,,,,,,,gene-CD630_RS00500,8.07,
,,,,,,,gene-CD630_RS00505,5.96,
gene-CD630_RS00510 - gene-CD630_RS00515,73277,76559,3282,+,155.39,2
,,,,,,,gene-CD630_RS00510,94.49,
,,,,,,,gene-CD630_RS00515,208.66,163.03
gene-CD630_RS00520,76997,78478,1481,+,23.91,1
,,,,,,,gene-CD630_RS00520,23.91,
gene-CD630_RS19625 - gene-CD630_RS00540,78699,82408,3709,+,28.94,5
,,,,,,,gene-CD630_RS19625,15.54,
